title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters
The Last Round-up,MOVIE,1947,77,0.0,6.3,95.0,1.469,6.0,US,1,western,4
Range Defenders,MOVIE,1937,56,0.0,5.7,87.0,0.707,2.5,US,1,western,4
Highway 13,MOVIE,1948,58,0.0,6.2,106.0,1.071,6.7,US,1,drama,0
Slightly Honorable,MOVIE,1939,85,0.0,6.1,438.0,2.063,6.3,US,1,comedy,5
Fugitive Valley,MOVIE,1941,61,0.0,5.7,92.0,1.4,6.0,US,1,western,4
The Courageous Dr. Christian,MOVIE,1940,67,0.0,6.2,93.0,1.266,5.8,US,1,drama,0
Bank Alarm,MOVIE,1937,61,0.0,5.3,289.0,0.744,4.5,US,1,crime,2
Bad Man of Deadwood,MOVIE,1941,61,0.0,5.6,207.0,1.559,4.2,US,1,western,4
Dixie Jamboree,MOVIE,1944,72,0.0,4.6,98.0,1.187,4.5,US,1,comedy,5
Make a Wish,MOVIE,1937,77,0.0,5.5,178.0,1.319,5.6,US,1,comedy,5
Down to the Sea,MOVIE,1936,69,0.0,6.0,50.0,0.673,4.0,US,1,drama,0
A Fool's Advice,MOVIE,1932,63,0.0,5.2,87.0,1.217,5.0,US,1,comedy,5
Mule Train,MOVIE,1950,69,0.0,6.6,101.0,1.4,6.0,US,1,western,4
Cheyenne Wildcat,MOVIE,1944,56,0.0,6.6,70.0,0.662,4.0,US,1,western,4
The Sun Sets at Dawn,MOVIE,1950,71,0.0,6.0,239.0,2.387,6.0,US,1,crime,2
Telephone Operator,MOVIE,1937,70,0.0,5.7,176.0,0.952,5.0,US,1,drama,0
Murder with Music,MOVIE,1941,59,0.0,4.1,93.0,0.674,7.0,US,1,drama,0
The Devil Horse,MOVIE,1926,68,0.0,6.0,38.0,0.621,6.0,US,1,western,4
Private Buckaroo,MOVIE,1942,68,0.0,5.8,468.0,1.042,4.4,US,1,comedy,5
In Old Santa Fe,MOVIE,1934,64,0.0,5.8,181.0,0.6,5.7,US,1,western,4
Heartaches,MOVIE,1947,71,0.0,6.0,94.0,0.6,5.0,US,1,drama,0
Back Page,MOVIE,1934,65,0.0,6.0,134.0,1.571,6.0,US,1,crime,2
A Parisian Romance,MOVIE,1932,75,0.0,5.9,46.0,0.6,6.0,US,1,drama,0
Yukon Flight,MOVIE,1940,57,0.0,5.0,75.0,1.331,3.0,US,1,western,4
Mad Youth,MOVIE,1940,76,0.0,5.0,234.0,1.606,4.2,US,1,drama,0
